station_id,timestamp,phase,event_type
2,1633708038,2,WALK
2,1633708065,2,CLEARANCE
2,1633708080,2,DONT_WALK
2,1633708108,2,WALK
2,1633708145,2,CLEARANCE
2,1633708160,2,DONT_WALK
2,1633708205,2,WALK
2,1633708225,2,CLEARANCE
2,1633708240,2,DONT_WALK
2,1633708292,2,WALK
2,1633708305,2,CLEARANCE
2,1633708320,2,DONT_WALK
2,1633708360,2,WALK
2,1633708385,2,CLEARANCE
2,1633708400,2,DONT_WALK
2,1633708432,2,WALK
2,1633708465,2,CLEARANCE
2,1633708480,2,DONT_WALK
2,1633708523,2,WALK
2,1633708545,2,CLEARANCE
2,1633708560,2,DONT_WALK
2,1633708565,4,WALK
2,1633708572,4,CLEARANCE
2,1633708595,4,DONT_WALK
2,1633708611,2,WALK
2,1633708625,2,CLEARANCE
2,1633708640,2,DONT_WALK
2,1633708670,2,WALK
2,1633708705,2,CLEARANCE
2,1633708720,2,DONT_WALK
2,1633708765,2,WALK
2,1633708785,2,CLEARANCE
3,1633708800,2,DONT_WALK
3,1633708850,2,WALK
3,1633708891,2,CLEARANCE
3,1633708906,2,DONT_WALK
3,1633708958,2,WALK
3,1633708981,2,CLEARANCE
3,1633708996,2,DONT_WALK
3,1633709001,4,WALK
3,1633709008,4,CLEARANCE
3,1633709029,4,DONT_WALK
3,1633709049,2,WALK
3,1633709071,2,CLEARANCE
3,1633709086,2,DONT_WALK
3,1633709139,2,WALK
3,1633709161,2,CLEARANCE
3,1633709176,2,DONT_WALK
3,1633709208,2,WALK
3,1633709251,2,CLEARANCE
3,1633709266,2,DONT_WALK
3,1633709319,2,WALK
3,1633709341,2,CLEARANCE
3,1633709356,2,DONT_WALK
3,1633709409,2,WALK
3,1633709431,2,CLEARANCE
3,1633709446,2,DONT_WALK
3,1633709451,4,WALK
3,1633709458,4,CLEARANCE
3,1633709479,4,DONT_WALK
3,1633709499,2,WALK
3,1633709521,2,CLEARANCE
3,1633709536,2,DONT_WALK
3,1633709582,2,WALK
3,1633709611,2,CLEARANCE
3,1633709626,2,DONT_WALK
3,1633709631,4,WALK
3,1633709638,4,CLEARANCE
3,1633709659,4,DONT_WALK
3,1633709666,2,WALK
3,1633709701,2,CLEARANCE
3,1633709716,2,DONT_WALK
3,1633709764,2,WALK
3,1633709791,2,CLEARANCE
3,1633709806,2,DONT_WALK
3,1633709811,4,WALK
3,1633709818,4,CLEARANCE
3,1633709839,4,DONT_WALK
3,1633709859,2,WALK
3,1633709881,2,CLEARANCE
3,1633709896,2,DONT_WALK
3,1633709942,2,WALK
3,1633709971,2,CLEARANCE
3,1633709986,2,DONT_WALK
3,1633710031,2,WALK
3,1633710061,2,CLEARANCE
3,1633710076,2,DONT_WALK
3,1633710129,2,WALK
3,1633710151,2,CLEARANCE
3,1633710166,2,DONT_WALK
3,1633710171,4,WALK
3,1633710178,4,CLEARANCE
3,1633710199,4,DONT_WALK
3,1633710219,2,WALK
3,1633710241,2,CLEARANCE
3,1633710256,2,DONT_WALK
3,1633710309,2,WALK
3,1633710331,2,CLEARANCE
3,1633710346,2,DONT_WALK
3,1633710385,2,WALK
3,1633710421,2,CLEARANCE
3,1633710436,2,DONT_WALK
3,1633710489,2,WALK
3,1633710511,2,CLEARANCE
3,1633710526,2,DONT_WALK
3,1633710531,4,WALK
3,1633710538,4,CLEARANCE
3,1633710559,4,DONT_WALK
3,1633710579,2,WALK
3,1633710601,2,CLEARANCE
3,1633710616,2,DONT_WALK
3,1633710669,2,WALK
3,1633710691,2,CLEARANCE
3,1633710706,2,DONT_WALK
3,1633710759,2,WALK
3,1633710780,2,CLEARANCE
3,1633710795,2,DONT_WALK
3,1633710828,2,WALK
3,1633710870,2,CLEARANCE
3,1633710885,2,DONT_WALK
3,1633710890,4,WALK
3,1633710897,4,CLEARANCE
3,1633710918,4,DONT_WALK
3,1633710939,2,WALK
3,1633710960,2,CLEARANCE
3,1633710975,2,DONT_WALK
3,1633711012,2,WALK
3,1633711050,2,CLEARANCE
3,1633711065,2,DONT_WALK
3,1633711118,2,WALK
3,1633711140,2,CLEARANCE
3,1633711155,2,DONT_WALK
3,1633711208,2,WALK
3,1633711230,2,CLEARANCE
3,1633711245,2,DONT_WALK
3,1633711293,2,WALK
3,1633711320,2,CLEARANCE
3,1633711335,2,DONT_WALK
3,1633711388,2,WALK
3,1633711410,2,CLEARANCE
3,1633711425,2,DONT_WALK
3,1633711465,2,WALK
3,1633711500,2,CLEARANCE
3,1633711515,2,DONT_WALK
3,1633711568,2,WALK
3,1633711590,2,CLEARANCE
3,1633711605,2,DONT_WALK
3,1633711653,2,WALK
3,1633711680,2,CLEARANCE
3,1633711695,2,DONT_WALK
3,1633711734,2,WALK
3,1633711770,2,CLEARANCE
3,1633711785,2,DONT_WALK
3,1633711790,4,WALK
3,1633711797,4,CLEARANCE
3,1633711818,4,DONT_WALK
3,1633711825,2,WALK
3,1633711860,2,CLEARANCE
3,1633711875,2,DONT_WALK
3,1633711880,4,WALK
3,1633711887,4,CLEARANCE
3,1633711908,4,DONT_WALK
3,1633711928,2,WALK
3,1633711950,2,CLEARANCE
3,1633711965,2,DONT_WALK
3,1633712005,2,WALK
3,1633712040,2,CLEARANCE
3,1633712055,2,DONT_WALK
3,1633712108,2,WALK
3,1633712130,2,CLEARANCE
3,1633712145,2,DONT_WALK
3,1633712150,4,WALK
3,1633712157,4,CLEARANCE
3,1633712178,4,DONT_WALK
3,1633712196,2,WALK
3,1633712220,2,CLEARANCE
3,1633712235,2,DONT_WALK
3,1633712270,2,WALK
3,1633712310,2,CLEARANCE
3,1633712325,2,DONT_WALK
3,1633712365,2,WALK
3,1633712400,2,CLEARANCE
