station_ID,timestamp,ped_ID,speed,signal_state,phase,direction,crosswalk_zone
1,1633705318,351572,2.497420016,DONT_WALK,2,East,east_crosswalk
1,1633705318,351572,2.503172474,DONT_WALK,2,East,east_crosswalk
1,1633705318,351572,2.487953457,DONT_WALK,2,East,east_crosswalk
1,1633705318,351572,2.53406428,DONT_WALK,2,East,east_crosswalk
1,1633705318,351572,2.522455549,DONT_WALK,2,East,east_crosswalk
1,1633705319,351572,2.443163391,DONT_WALK,2,East,east_crosswalk
1,1633705319,351572,2.544144972,DONT_WALK,2,East,east_crosswalk
1,1633705319,351572,2.584698062,DONT_WALK,2,East,east_crosswalk
1,1633705319,351572,2.606648493,DONT_WALK,2,East,east_crosswalk
1,1633705319,351572,2.517363893,DONT_WALK,2,East,east_crosswalk
1,1633705319,351572,2.436233963,DONT_WALK,2,East,east_crosswalk
1,1633705319,351572,2.328218468,DONT_WALK,2,East,east_crosswalk
1,1633705319,351572,2.199220308,DONT_WALK,2,East,east_crosswalk
1,1633705320,351572,2.136410724,DONT_WALK,2,East,east_crosswalk
1,1633705320,351572,2.157365414,DONT_WALK,2,East,east_crosswalk
1,1633705320,351572,2.091535376,DONT_WALK,2,East,east_crosswalk
1,1633705320,351572,1.990473727,DONT_WALK,2,East,east_crosswalk
1,1633705320,351572,1.954628144,DONT_WALK,2,East,east_crosswalk
1,1633705320,351572,1.857024248,DONT_WALK,2,East,east_crosswalk
1,1633705320,351572,1.885975119,DONT_WALK,2,East,east_crosswalk
1,1633705321,351572,1.828941246,DONT_WALK,2,East,east_crosswalk
1,1633705321,351572,1.826379057,DONT_WALK,2,East,east_crosswalk
1,1633705321,351572,1.761110523,DONT_WALK,2,East,east_crosswalk
1,1633705330,351708,1.280498123,DONT_WALK,2,East,outside
1,1633705330,351708,1.235834837,DONT_WALK,2,East,outside
1,1633705330,351708,1.223274642,DONT_WALK,2,East,outside
1,1633705330,351706,0.859912719,DONT_WALK,2,South,outside
1,1633705330,351708,1.161256764,DONT_WALK,2,East,outside
1,1633705330,351706,0.830276999,DONT_WALK,2,South,outside
1,1633705330,351708,1.080142748,DONT_WALK,2,East,outside
1,1633705330,351706,0.917702212,DONT_WALK,2,South,outside
1,1633705330,351708,1.009430494,DONT_WALK,2,East,outside
1,1633705330,351708,0.935852231,DONT_WALK,2,East,outside
1,1633705330,351708,0.941923767,DONT_WALK,2,East,outside
1,1633705331,351708,0.922745193,DONT_WALK,2,South,outside
1,1633705331,351708,0.99096797,DONT_WALK,2,South,outside
1,1633705331,351708,0.99736236,DONT_WALK,2,South,outside
1,1633705331,351708,0.957348189,DONT_WALK,2,South,outside
1,1633705331,351708,0.898517579,DONT_WALK,2,South,outside
1,1633705331,351708,0.87324902,DONT_WALK,2,South,outside
1,1633705331,351708,0.869582937,DONT_WALK,2,South,outside
1,1633705332,351708,0.842143252,DONT_WALK,2,South,outside
1,1633705332,351708,0.727317546,DONT_WALK,2,South,outside
1,1633705348,351801,2.111477377,DONT_WALK,2,West,east_crosswalk
1,1633705348,351801,2.05594281,DONT_WALK,2,West,east_crosswalk
1,1633705348,351801,1.964640074,DONT_WALK,2,West,east_crosswalk
1,1633705348,351801,1.971321123,DONT_WALK,2,West,east_crosswalk
